,@type,eg:month,eg:n_citations,eg:n_paid_citations
0,eg:Record,2012-02-01,7184,5335
1,eg:Record,2012-03-01,6987,4914
2,eg:Record,2012-04-01,8555,4992
3,eg:Record,2012-05-01,7643,5818
4,eg:Record,2012-06-01,7224,5770
5,eg:Record,2012-07-01,7896,6369
6,eg:Record,2012-08-01,9253,7544
7,eg:Record,2012-09-01,8085,6627
8,eg:Record,2012-10-01,8664,6971
9,eg:Record,2012-11-01,7146,5809
10,eg:Record,2012-12-01,6174,5127
11,eg:Record,2013-01-01,8509,6965
12,eg:Record,2013-02-01,9342,7806
13,eg:Record,2013-03-01,9983,8616
14,eg:Record,2013-04-01,10179,8189
15,eg:Record,2013-05-01,10145,8130
16,eg:Record,2013-06-01,11806,9070
17,eg:Record,2013-07-01,11382,8696
18,eg:Record,2013-08-01,12824,9296
19,eg:Record,2013-09-01,11222,5937
20,eg:Record,2013-10-01,13272,10461
21,eg:Record,2013-11-01,10901,8726
22,eg:Record,2013-12-01,9288,7196
